hardware,model,layer_name,input,kv_cache,latency(ns)
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,768,0,215347
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,768,0,222625
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,768,0,284565
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,768,0,225240
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,768,0,205223
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,768,0,352914
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,768,0,237366
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1024,0,362518
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1024,0,219603
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1024,0,220892
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1024,0,218481
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1024,0,1384929
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1024,0,239851
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1024,0,362119
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1024,0,218097
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1024,0,219453
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1024,0,285000
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1024,0,223607
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1024,0,205998
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1024,0,355811
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1024,0,238421
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1280,0,362579
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1280,0,220178
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1280,0,221908
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1280,0,219112
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1280,0,1386286
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1280,0,241255
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1280,0,362891
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1280,0,216914
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1280,0,221517
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1280,0,284218
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1280,0,224899
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1280,0,207486
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1280,0,355529
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1280,0,236446
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1536,0,362786
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1536,0,218494
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1536,0,223455
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1536,0,217572
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1536,0,1381579
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1536,0,239937
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1536,0,360519
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1536,0,215438
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1536,0,219016
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1536,0,283227
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1536,0,225197
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1536,0,206719
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1536,0,353949
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1536,0,235142
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1792,0,364643
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1792,0,218817
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1792,0,222241
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1792,0,218657
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1792,0,1395141
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1792,0,241817
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1792,0,362688
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1792,0,217072
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1792,0,222456
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1792,0,282763
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1792,0,226453
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1792,0,210670
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1792,0,355533
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1792,0,237518
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,2048,0,365694
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,2048,0,220101
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,2048,0,221803
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,2048,0,217142
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,2048,0,1385318
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,2048,0,241664
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,2048,0,365304
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,2048,0,216415
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,2048,0,219768
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,2048,0,314173
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,2048,0,224831
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,2048,0,206823
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,2048,0,355141
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,2048,0,237071
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,1,362422
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,1,219902
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,1,222118
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,1,218907
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,1,1572469
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,1,243053
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,1,363317
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,1,217169
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,1,220837
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,1,284921
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,1,225148
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,1,217395
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,1,356072
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,1,237181
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,256,363544
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,256,218612
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,256,221203
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,256,217955
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,256,1586172
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,256,244094
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,256,366528
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,256,217360
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,256,221778
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,256,284819
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,256,225100
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,256,220397
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,256,359225
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,256,236143
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,512,360605
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,512,219537
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,512,221212
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,512,218511
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,512,1593998
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,512,243041
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,512,362818
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,512,214904
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,512,218627
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,512,283009
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,512,224118
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,512,217872
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,512,353383
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,512,235605
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,768,364851
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,768,220462
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,768,221484
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,768,217164
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,768,1578882
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,768,243983
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,768,367353
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,768,218299
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,768,220201
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,768,285674
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,768,225822
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,768,217855
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,768,354593
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,768,237962
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,1024,365414
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,1024,220792
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,1024,220878
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,1024,216958
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,1024,1585440
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,1024,242421
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,1024,364792
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,1024,217894
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,1024,220794
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,1024,285351
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,1024,224195
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,1024,218537
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,1024,354488
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,1024,237356
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,1280,361873
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,1280,219387
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,1280,220876
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,1280,218577
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,1280,1581014
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,1280,242346
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,1280,365073
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,1280,216525
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,1280,221352
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,1280,285840
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,1280,224319
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,1280,216628
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,1280,357551
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,1280,234904
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,1536,364440
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,1536,219108
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,1536,223253
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,1536,219870
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,1536,1594436
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,1536,242297
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,1536,364621
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,1536,216968
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,1536,221758
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,1536,285929
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,1536,225120
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,1536,220966
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,1536,357659
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,1536,237639
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,1792,361791
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,1792,219398
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,1792,220091
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,1792,217647
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,1792,1589377
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,1792,242989
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,1792,361952
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,1792,217005
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,1792,219432
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,1792,285700
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,1792,224783
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,1792,217431
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,1792,354985
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,1792,237140
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,1,2048,366286
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,1,2048,220600
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,1,2048,222135
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,1,2048,217977
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,attn,1,2048,1588793
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,1,2048,243031
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,1,2048,366277
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,1,2048,217356
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,1,2048,221164
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,1,2048,284614
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,1,2048,224898
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,1,2048,222973
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,1,2048,356599
TPU-v5e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,1,2048,237337
